=== svc_c0_0.st
  16 chr  9/10 hp 33/48 y1=128 | P1 scr= 88 wld=151 | P2 scr= 54 wld=117 | cam  63/ 63 | P1scr-P2scr= +34 P1wld-P2wld= +34
  17 chr  9/10 hp 33/48 y1=128 | P1 scr= 85 wld=148 | P2 scr= 54 wld=117 | cam  63/ 63 | P1scr-P2scr= +31 P1wld-P2wld= +31
  18 chr  9/10 hp 33/48 y1=128 | P1 scr=128 wld=191 | P2 scr= 54 wld=117 | cam  63/ 63 | P1scr-P2scr= +74 P1wld-P2wld= +74
  19 chr  9/10 hp 33/48 y1=128 | P1 scr=128 wld=198 | P2 scr= 51 wld=121 | cam  70/ 70 | P1scr-P2scr= +77 P1wld-P2wld= +77
  20 chr  9/10 hp 33/48 y1=128 | P1 scr=128 wld=198 | P2 scr= 51 wld=121 | cam  70/ 70 | P1scr-P2scr= +77 P1wld-P2wld= +77
=== svc_c1_3.st
  00 chr  8/10 hp 42/48 y1=128 | P1 scr= 32 wld= 94 | P2 scr= 90 wld=152 | cam  62/ 62 | P1scr-P2scr= -58 P1wld-P2wld= -58
  01 chr  8/10 hp 42/48 y1=128 | P1 scr= 78 wld=140 | P2 scr= 95 wld=157 | cam  62/ 62 | P1scr-P2scr= -17 P1wld-P2wld= -17
  02 chr  8/10 hp 42/48 y1=128 | P1 scr= 81 wld=143 | P2 scr= 99 wld=161 | cam  62/ 62 | P1scr-P2scr= -18 P1wld-P2wld= -18
  03 chr  8/10 hp 42/48 y1=128 | P1 scr= 76 wld=138 | P2 scr= 99 wld=161 | cam  62/ 62 | P1scr-P2scr= -23 P1wld-P2wld= -23
  04 chr  8/10 hp 40/48 y1=128 | P1 scr= 68 wld=130 | P2 scr= 99 wld=161 | cam  62/ 62 | P1scr-P2scr= -31 P1wld-P2wld= -31
  05 chr  8/10 hp 39/48 y1=128 | P1 scr= 68 wld=130 | P2 scr=104 wld=166 | cam  62/ 62 | P1scr-P2scr= -36 P1wld-P2wld= -36
  06 chr  8/10 hp 39/48 y1=128 | P1 scr= 99 wld=161 | P2 scr=116 wld=178 | cam  62/ 62 | P1scr-P2scr= -17 P1wld-P2wld= -17
  07 chr  8/10 hp 39/38 y1=128 | P1 scr= 96 wld=159 | P2 scr=130 wld=193 | cam  63/ 63 | P1scr-P2scr= -34 P1wld-P2wld= -34
  08 chr  8/10 hp 39/38 y1=128 | P1 scr= 79 wld=164 | P2 scr=130 wld=215 | cam  85/ 85 | P1scr-P2scr= -51 P1wld-P2wld= -51
  09 chr  8/10 hp 39/32 y1=128 | P1 scr=109 wld=198 | P2 scr=130 wld=219 | cam  89/ 89 | P1scr-P2scr= -21 P1wld-P2wld= -21
